"","job.title","company.name","location","job.description","job.seen.beacon","job.id","location.type"
"id","Staff Data Scientist - Work From Home!","Shopify","New York, NY 10060 (Chelsea area)+53 locations•","From pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to…","newStaff Data Scientist - Work From Home!Shopify3.9New York, NY 10060 (Chelsea area)+53 locations•RemoteFrom pipelines and schema design to machine learning products and decision support, data science at Shopify is a diverse role with many opportunities to…
8 days ago","sj_340859d52a10de3a","Remote"
"2","Data Scientist","Focus Camera","Brooklyn, NY 11218 (Borough Park area)","Develop new capabilities using machine learning and automation for improving business performance.
 Build data pipelines between various platforms.","Data ScientistFocus Camera3.2Brooklyn, NY 11218 (Borough Park area)$60,000 - $75,000 a yearEasily applyResponsive employerDevelop new capabilities using machine learning and automation for improving business performance.
 Build data pipelines between various platforms.
Active 2 days ago","sj_81edd0a7316e9a6a",""
"3","Data Scientist","Lendio","New York, NY+1 location","Conduct deep dives into the performance of loans to identify data-driven opportunities to improve risk assessment.
 Proficient in R and/or Python.","Data ScientistLendio4.7New York, NY+1 locationConduct deep dives into the performance of loans to identify data-driven opportunities to improve risk assessment.
 Proficient in R and/or Python.
30+ days ago","sj_dbadcc7fa0d29c89",""
"4","Data Scientist","VertexOne","","The ideal candidate will be intricately involved in running analytical experiments in a methodical manner, and will regularly evaluate alternate models via…","newData ScientistVertexOneRemote$125,000 - $145,000 a yearEasily applyThe ideal candidate will be intricately involved in running analytical experiments in a methodical manner, and will regularly evaluate alternate models via…
Today·More...View all VertexOne jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_8508891f3a30b050","Remote"
"5","Junior Data Scientist","Aignyte","","Experience in machine and statistical learning, deep learning areas such as classification, regression, clustering, NLP, image recognition, etc.","newJunior Data ScientistAignyteRemote$70,000 - $90,000 a yearEasily applyUrgently hiringExperience in machine and statistical learning, deep learning areas such as classification, regression, clustering, NLP, image recognition, etc.
Just posted·More...View all Aignyte jobs in Remote - Remote jobsSalary Search: Junior Data Scientist salaries in Remote","job_310568b09b1f3a42","Remote"
"6","Data Scientist","American Credit Acceptance","Spartanburg, SC 29302 (Downtown area)","Analyze large amounts of structured and unstructured data using scientific methods and algorithms to develop knowledge and insights and improve business…","newData ScientistAmerican Credit Acceptance2.8Spartanburg, SC 29302 (Downtown area)$65,000 - $75,000 a yearEasily applyAnalyze large amounts of structured and unstructured data using scientific methods and algorithms to develop knowledge and insights and improve business…
Today","sj_521530c211a3f7dc",""
"7","Data Scientist","VertexOne - Remote US and Canada","","The individual will grow our data analytics capabilities by enabling new use cases for utilities and utility end customers by leveraging data from multiple…","newData ScientistVertexOne - Remote US and CanadaRemote$125,000 - $145,000 a yearEasily applyThe individual will grow our data analytics capabilities by enabling new use cases for utilities and utility end customers by leveraging data from multiple…
Today·More...View all VertexOne - Remote US and Canada jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_d3dd577291a0746d","Remote"
"8","Data Scientist","TikTok","Mountain View, CA+20 locations","Knowledge in basic machine learning and deep learning;
 The team is made up of machine learning researchers and engineers, who support and innovate on production…","Data ScientistTikTok3.4Mountain View, CA+20 locationsKnowledge in basic machine learning and deep learning;
 The team is made up of machine learning researchers and engineers, who support and innovate on production…
30+ days ago","sj_224b8705f600714b",""
"9","Entry Level - Associate Data Scientist (Commercial)","IBM","New York, NY 10001 (Chelsea area)+2 locations","Work in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and…","Entry Level - Associate Data Scientist (Commercial)IBM3.9New York, NY 10001 (Chelsea area)+2 locationsWork in an Agile, collaborative environment, partnering with other scientists, engineers, consultants and database administrators of all backgrounds and…
30+ days ago·More...View all IBM jobs in New York, NY - New York jobsSalary Search: Entry Level - Associate Data Scientist (Commercial) salaries in New York, NYSee popular questions & answers about IBM","job_25efb959e2343e4d",""
"10","Staff Data Scientist, Freemium","Spotify","New York, NY+9 locations•","You’re capable of and have experience mentoring more junior data scientists to set them up for success.
 Perform analyses on data sets to extract meaningful…","newStaff Data Scientist, FreemiumSpotify4.3New York, NY+9 locations•RemoteYou’re capable of and have experience mentoring more junior data scientists to set them up for success.
 Perform analyses on data sets to extract meaningful…
4 days ago·More...View all Spotify jobs in New York, NY - New York jobsSalary Search: Staff Data Scientist, Freemium salaries in New York, NYSee popular questions & answers about Spotify","job_17f9bfaefbd4b5b9","Remote"
"11","Junior Data Scientist","SiteZeus","","Proficiency with predictive analytics on big data projects is a plus.
 Understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes,…","Junior Data ScientistSiteZeus5.0Remote$50,000 - $85,000 a yearEasily applyProficiency with predictive analytics on big data projects is a plus.
 Understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes,…
30+ days ago·More...View all SiteZeus jobs in Remote - Remote jobsSalary Search: Junior Data Scientist salaries in Remote","job_69618d3f4147101a","Remote"
"12","Geospatial Data Scientist","HySpecIQ","","Create and implement techniques for processing hyperspectral data along with other sources of geospatial data to develop data products.","Geospatial Data ScientistHySpecIQRemote$50 - $100 an hourEasily applyCreate and implement techniques for processing hyperspectral data along with other sources of geospatial data to develop data products.
Active 18 days ago·More...View all HySpecIQ jobs in Remote - Remote jobsSalary Search: Geospatial Data Scientist salaries in Remote","job_419fa0b54b748b49","Remote"
"13","Staff Data Scientist","Attunely","+1 location","Experience with creating machine learning models for use in an economics context.
 Significant experience extracting insights from large data sets.","Staff Data ScientistAttunely+1 locationRemote$180,000 a yearEasily applyExperience with creating machine learning models for use in an economics context.
 Significant experience extracting insights from large data sets.
Active 4 days ago·More...View all Attunely jobs in Remote - Remote jobsSalary Search: Staff Data Scientist salaries in Remote","job_9118436fd3de9a55","Remote"
"14","Data Scientist","FanDuel","New York, NY","A minimum of 1 year of Industry Experience in data science, analytics or engineering preferred.
 Develop, iterate, and take to production machine learning models…","Data ScientistFanDuel3.9New York, NYEasily applyA minimum of 1 year of Industry Experience in data science, analytics or engineering preferred.
 Develop, iterate, and take to production machine learning models…
30+ days ago·More...View all FanDuel jobs in New York, NY - New York jobsSalary Search: Data Scientist salaries in New York, NYSee popular questions & answers about FanDuel","job_407fa861b0b05363",""
"15","Junior Data Scientist","Datatron","","You will interact with fellow data scientists in different enterprises to understand what and how they deploy, how to effectively manage the necessary…","newJunior Data ScientistDatatronRemoteEasily applyYou will interact with fellow data scientists in different enterprises to understand what and how they deploy, how to effectively manage the necessary…
Active 3 days ago·More...View all Datatron jobs in Remote - Remote jobsSalary Search: Junior Data Scientist salaries in Remote","job_1cd941044ee4f5e5","Remote"
"id1","Data Scientist","Anuvu","Temporarily ","Build predictive models and machine-learning algorithms.
 Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM,…","Data ScientistAnuvuTemporarily RemoteEasily applyResponsive employerBuild predictive models and machine-learning algorithms.
 Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM,…
30+ days ago·More...View all Anuvu jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_70f9673036b5f6be","Remote"
"21","Data Scientist","TikTok","Mountain View, CA+1 location","Knowledge in basic machine learning and deep learning;
 The team is made up of machine learning researchers and engineers, who support and innovate on production…","Data ScientistTikTok3.4Mountain View, CA+1 locationKnowledge in basic machine learning and deep learning;
 The team is made up of machine learning researchers and engineers, who support and innovate on production…
30+ days ago","sj_224b8705f600714b",""
"31","Data Scientist","EATEAM Inc","","Junior and Mid Level roles 0 to 3 Years experience only*.
 Minimum 0-3 Years experience Data Science experience with hands-on spark/pyspark, Databricks and Azure…","newData ScientistEATEAM IncRemote$31 - $79 an hourEasily applyJunior and Mid Level roles 0 to 3 Years experience only*.
 Minimum 0-3 Years experience Data Science experience with hands-on spark/pyspark, Databricks and Azure…
Active 4 days ago·More...View all EATEAM Inc jobs in Remote - Remote jobsSalary Search: Data Scientist salaries in Remote","job_b1fc5cdaab596cb7","Remote"
"41","Data Scientist, Analytics (University Grad)","Facebook","New York, NY+12 locations","Work closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.
 Candidates will help own analytics for a particular…","Data Scientist, Analytics (University Grad)Facebook4.1New York, NY+12 locationsWork closely with Product or Engineering & Operations teams to proactively create rule and manage decisions.
 Candidates will help own analytics for a particular…
30+ days ago·More...View all Facebook jobs in New York, NY - New York jobsSalary Search: Data Scientist, Analytics (University Grad) salaries in New York, NYSee popular questions & answers about Facebook","job_2ead780aa916ca33",""
"51","Associate Data Scientist","Lightyear Health","New York State•","Leverage your expertise in analytics to surface actionable insights from clinical and business data.
 1+ years of professional experience in data analytics;…","Associate Data ScientistLightyear HealthNew York State•Remote$90,000 - $110,000 a yearEasily applyLeverage your expertise in analytics to surface actionable insights from clinical and business data.
 1+ years of professional experience in data analytics;…
30+ days ago·More...View all Lightyear Health jobs in New York State - New York State jobsSalary Search: Associate Data Scientist salaries in New York State","job_6c75b813f913d4f9","Remote"
