STATE,ELECTORAL VOTES,ELECTORAL VOTES CAST FOR JOSEPH R. BIDEN (D),ELECTORAL VOTES CAST FOR DONALD J. TRUMP ( R )
AL,9,,9
AK,3,,3
AZ,11,11,
AR,6,,6
CA,55,55,
CO,9,9,
CT,7,7,
DE,3,3,
DC,3,3,
FL,29,,29
GA,16,16,
HI,4,4,
ID,4,,4
IL,20,20,
IN,11,,11
IA,6,,6
KS,6,,6
KY,8,,8
LA,8,,8
ME,4,3,1
MD,10,10,
MA,11,11,
MI,16,16,
MN,10,10,
MS,6,,6
MO,10,,10
MT,3,,3
NE,5,1,4
NV,6,6,
NH,4,4,
NJ,14,14,
NM,5,5,
NY,29,29,
NC,15,,15
ND,3,,3
OH,18,,18
OK,7,,7
OR,7,7,
PA,20,20,
RI,4,4,
SC,9,,9
SD,3,,3
TN,11,,11
TX,38,,38
UT,6,,6
VT,3,3,
VA,13,13,
WA,12,12,
WV,5,,5
WI,10,10,
WY,3,,3
Total:,538,306,232
