Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),           -,           -,       44.03,       91570,         4.3,       25.12,       31.77,       41.29,       53.00,       66.56,       52260,       66080,       85870,      110240,      138450,           -,           -
Alaska(0200000),         150,        12.0,       49.91,      103810,         2.8,       29.87,       35.93,       48.09,       62.91,       77.07,       62130,       74740,      100040,      130860,      160310,       0.483,        0.45
Arizona(0400000),        2860,        18.0,       50.11,      104220,         5.2,       29.79,       37.61,       49.41,       60.90,       75.67,       61970,       78220,      102770,      126670,      157390,       0.944,        0.87
California(0600000),       29420,         2.7,       70.86,      147390,         1.4,       30.73,       40.87,       60.97,       82.16,      110.95,       63920,       85010,      126810,      170890,      230780,       1.668,        1.55
Colorado(0800000),        3540,         8.3,       56.04,      116560,         1.7,       29.88,       38.16,       49.62,       64.90,       79.78,       62140,       79370,      103200,      134990,      165930,       1.278,        1.18
Connecticut(0900000),         950,         6.6,       52.99,      110220,         2.6,       25.15,       36.03,       50.82,       64.34,       80.66,       52310,       74940,      105700,      133820,      167760,       0.580,        0.54
Delaware(1000000),         480,        24.3,       64.10,      133320,         2.9,       45.45,       51.09,       63.61,       80.65,       81.95,       94530,      106260,      132300,      167760,      170450,       1.047,        0.97
District of Columbia(1100000),        3200,        17.9,       52.98,      110190,         8.0,       27.95,       40.55,       46.95,       62.70,       85.76,       58130,       84340,       97660,      130410,      178370,       4.638,        4.30
Florida(1200000),        8190,         4.9,       48.45,      100780,         1.7,       25.43,       33.74,       48.33,       61.45,       67.15,       52900,       70170,      100520,      127810,      139670,       0.889,        0.82
Georgia(1300000),        5650,         5.5,       51.16,      106400,         2.9,       29.43,       37.18,       48.27,       63.22,       76.98,       61210,       77330,      100400,      131490,      160110,       1.225,        1.14
Hawaii(1500000),          90,        17.6,       49.75,      103470,         6.3,       19.64,       30.28,       54.01,       59.48,       76.04,       40860,       62990,      112330,      123720,      158170,       0.155,        0.14
Idaho(1600000),         250,        22.9,       45.92,       95520,         3.2,       30.21,       36.06,       46.39,       55.91,       61.07,       62830,       75000,       96490,      116280,      127020,       0.311,        0.29
Illinois(1700000),        6350,         5.3,       52.82,      109870,         1.1,       28.36,       38.17,       49.87,       63.66,       80.65,       58980,       79400,      103730,      132410,      167760,       1.079,        1.00
Indiana(1800000),        2200,         7.3,       37.93,       78890,         3.3,       21.95,       27.46,       36.52,       46.85,       53.92,       45650,       57120,       75970,       97450,      112150,       0.712,        0.66
Iowa(1900000),        1970,         2.3,       45.28,       94190,         1.2,       24.51,       33.00,       45.61,       53.28,       64.44,       50980,       68650,       94860,      110820,      134040,       1.299,        1.20
Kansas(2000000),         430,        32.0,       45.63,       94920,         7.6,       39.01,       42.72,       42.72,       46.76,       59.99,       81140,       88860,       88860,       97260,      124780,       0.309,        0.29
Kentucky(2100000),           -,           -,       41.57,       86470,         3.8,       25.43,       33.18,       39.42,       48.00,       60.67,       52890,       69010,       81990,       99830,      126190,           -,           -
Louisiana(2200000),         580,        10.0,       34.48,       71710,         3.4,       25.00,       29.57,       31.45,       38.51,       43.59,       52010,       61510,       65410,       80090,       90660,       0.313,        0.29
Maine(2300000),         800,         9.2,       48.60,      101080,         4.9,       30.84,       35.75,       46.01,       63.07,       66.80,       64140,       74360,       95700,      131190,      138940,       1.311,        1.21
Maryland(2400000),        2010,        13.3,       57.19,      118960,         3.0,       32.62,       42.09,       56.60,       70.67,       80.26,       67860,       87560,      117730,      147000,      166940,       0.760,        0.70
Massachusetts(2500000),           -,           -,       57.86,      120340,         4.5,       34.24,       39.63,       51.00,       66.39,       84.74,       71220,       82430,      106070,      138080,      176260,           -,           -
Michigan(2600000),        3900,         8.9,       44.62,       92820,         3.9,       26.25,       33.37,       41.09,       51.52,       63.21,       54600,       69410,       85470,      107170,      131480,       0.918,        0.85
Minnesota(2700000),        1600,         5.5,       53.72,      111740,         0.8,       37.06,       42.99,       51.41,       64.11,       75.67,       77090,       89420,      106920,      133340,      157390,       0.567,        0.53
Mississippi(2800000),           -,           -,       31.70,       65940,         5.4,       14.89,       19.15,       27.38,       37.67,       50.98,       30980,       39830,       56950,       78360,      106040,           -,           -
Missouri(2900000),        4020,        12.4,       39.36,       81860,         2.3,       22.67,       29.13,       37.88,       48.88,       60.55,       47150,       60580,       78780,      101670,      125940,       1.425,        1.32
Montana(3000000),          90,        19.8,       35.93,       74720,        10.2,       24.15,       24.15,       36.16,       43.41,       50.18,       50230,       50230,       75200,       90280,      104370,       0.192,        0.18
Nebraska(3100000),        1310,         7.1,       42.95,       89340,         2.3,       27.73,       36.02,       40.62,       49.53,       57.24,       57680,       74920,       84490,      103030,      119070,       1.346,        1.25
Nevada(3200000),         850,        14.3,       46.57,       96870,         8.3,       28.84,       28.84,       39.48,       54.76,       83.45,       59990,       59990,       82110,      113890,      173580,       0.600,        0.56
New Hampshire(3300000),         620,        10.7,       41.97,       87300,         5.0,       23.80,       27.90,       37.32,       52.44,       65.62,       49490,       58040,       77620,      109070,      136480,       0.940,        0.87
New Jersey(3400000),        3030,        19.0,       62.49,      129980,         3.6,       36.02,       46.37,       62.12,       75.74,       89.73,       74920,       96450,      129210,      157550,      186640,       0.737,        0.68
New Mexico(3500000),         330,         8.4,       41.87,       87090,         5.3,       20.69,       28.89,       37.88,       46.23,       63.49,       43040,       60100,       78790,       96160,      132060,       0.398,        0.37
New York(3600000),       14760,         3.6,       61.63,      128200,         1.7,       29.11,       40.70,       59.63,       79.32,       99.86,       60540,       84650,      124030,      164990,      207710,       1.620,        1.50
North Carolina(3700000),        5350,         8.4,       57.67,      119960,         1.0,       31.52,       44.38,       58.64,       66.33,       83.06,       65560,       92310,      121970,      137970,      172770,       1.151,        1.07
North Dakota(3800000),         150,        15.7,       44.87,       93340,         4.7,       30.65,       34.83,       43.77,       54.66,       64.04,       63740,       72440,       91050,      113700,      133190,       0.361,        0.33
Ohio(3900000),        3650,         4.5,       44.27,       92080,         1.7,       23.26,       32.19,       42.77,       53.73,       65.14,       48380,       66950,       88950,      111750,      135490,       0.680,        0.63
Oklahoma(4000000),        1740,         9.6,       42.21,       87810,         3.4,       24.81,       30.64,       38.33,       53.29,       68.75,       51610,       63740,       79720,      110850,      143000,       1.087,        1.01
Oregon(4100000),        1610,         8.6,       53.41,      111090,         4.1,       28.89,       32.52,       49.29,       66.20,       84.03,       60100,       67630,      102530,      137690,      174790,       0.848,        0.79
Pennsylvania(4200000),        6370,         4.1,       46.12,       95940,         1.5,       24.78,       33.80,       43.91,       58.73,       65.39,       51530,       70300,       91330,      122150,      136010,       1.097,        1.02
Puerto Rico(7200000),          70,        18.4,       31.21,       64910,         5.2,       19.75,       26.50,       29.68,       37.73,       38.72,       41090,       55120,       61730,       78470,       80550,       0.081,        0.07
Rhode Island(4400000),         620,         9.3,       56.53,      117570,         2.4,       38.39,       42.20,       52.52,       64.16,       80.91,       79840,       87770,      109240,      133460,      168290,       1.286,        1.19
South Carolina(4500000),        1180,         6.6,       48.34,      100550,         1.7,       29.52,       35.39,       47.78,       57.35,       69.71,       61390,       73610,       99370,      119290,      145000,       0.548,        0.51
South Dakota(4600000),         110,        14.9,       52.13,      108430,         3.7,       34.03,       42.01,       52.07,       57.97,       66.49,       70780,       87380,      108310,      120580,      138300,       0.264,        0.24
Tennessee(4700000),        1210,        10.8,       53.88,      112070,         5.9,       31.17,       34.83,       45.53,       62.59,       80.48,       64830,       72450,       94690,      130200,      167390,       0.389,        0.36
Texas(4800000),       13780,         3.1,       49.15,      102230,         0.9,       22.60,       32.66,       47.76,       62.39,       78.95,       47010,       67940,       99350,      129780,      164210,       1.061,        0.98
Utah(4900000),        3070,         7.5,       42.63,       88660,         4.0,       23.43,       30.21,       39.06,       51.17,       64.76,       48740,       62840,       81250,      106430,      134700,       1.886,        1.75
Vermont(5000000),         150,        41.3,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       0.513,        0.48
Virginia(5100000),        4500,         5.3,       64.42,      133990,         1.3,       35.53,       47.11,       63.65,       81.49,       95.10,       73910,       97990,      132400,      169490,      197810,       1.163,        1.08
Washington(5300000),        4160,         8.3,       67.68,      140780,         4.4,       31.88,       46.76,       65.31,       82.16,      100.18,       66300,       97260,      135850,      170900,      208380,       1.221,        1.13
West Virginia(5400000),          70,        11.6,       34.88,       72550,         1.5,       27.66,       29.81,       32.21,       40.07,       46.29,       57540,       62000,       67010,       83340,       96280,       0.106,        0.10
Wisconsin(5500000),        2740,         8.3,       43.63,       90760,         5.0,       16.26,       32.35,       45.87,       51.91,       63.04,       33820,       67290,       95410,      107980,      131120,       0.971,        0.90
Wyoming(5600000),          40,        43.9,       61.95,      128860,        25.3,       32.93,       67.29,       67.29,       69.05,       72.36,       68490,      139960,      139970,      143610,      150510,       0.150,        0.14
,,,,,,,,,,,,,,,,,
(1)Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3)The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
(8)Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
"Date extracted on :Mar 10, 2024",,,,,,,,,,,,,,,,,
