Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Alabama(0100000),         310,        12.1,       57.50,      119590,         3.9,       33.06,       39.66,       57.41,       67.18,       93.09,       68770,       82480,      119410,      139730,      193630,       0.156,        0.37
Alaska(0200000),          50,        33.5,       52.35,      108900,         2.8,       30.50,       47.37,       53.25,       59.34,       68.19,       63440,       98540,      110760,      123430,      141840,       0.160,        0.38
Arizona(0400000),        1100,         8.9,       58.92,      122560,         5.5,       23.13,       37.46,       59.47,       70.93,       82.25,       48100,       77910,      123700,      147520,      171070,       0.362,        0.86
Arkansas(0500000),         300,         8.9,       46.74,       97210,         2.3,       32.88,       36.45,       41.37,       51.36,       67.35,       68400,       75820,       86060,      106820,      140080,       0.242,        0.57
California(0600000),        4810,         4.1,       73.54,      152960,         1.4,       38.75,       56.77,       74.66,       86.70,      104.65,       80610,      118080,      155290,      180330,      217680,       0.273,        0.65
Colorado(0800000),        4580,         9.2,       62.47,      129930,         2.4,       49.23,       49.93,       63.64,       74.09,       81.71,      102390,      103840,      132360,      154110,      169960,       1.657,        3.92
Connecticut(0900000),         640,        14.1,       61.09,      127060,         4.7,       35.71,       50.17,       62.83,       68.22,       82.23,       74280,      104350,      130680,      141890,      171050,       0.392,        0.93
Delaware(1000000),          90,        24.7,       68.50,      142470,         3.7,       56.28,       62.22,       65.36,       73.41,       80.08,      117070,      129410,      135960,      152700,      166570,       0.196,        0.46
District of Columbia(1100000),         610,        17.3,       68.18,      141820,         4.1,       40.45,       55.97,       67.97,       81.83,       93.46,       84140,      116420,      141380,      170210,      194390,       0.878,        2.08
Florida(1200000),        1770,         9.7,       63.64,      132370,         5.5,       35.58,       50.49,       62.00,       76.12,       86.02,       74000,      105010,      128950,      158330,      178930,       0.192,        0.45
Georgia(1300000),        2970,        38.4,       66.56,      138450,        13.2,       38.18,       53.62,       66.65,       83.95,       83.95,       79410,      111520,      138630,      174610,      174610,       0.643,        1.52
Hawaii(1500000),          50,        15.9,       52.36,      108910,         2.5,       33.30,       40.86,       51.78,       60.68,       78.72,       69270,       84990,      107700,      126220,      163740,       0.081,        0.19
Idaho(1600000),         190,        24.3,       60.80,      126450,         7.9,       31.23,       42.23,       63.59,       72.12,       93.37,       64960,       87840,      132260,      150000,      194220,       0.240,        0.57
Illinois(1700000),        1520,         7.2,       63.52,      132120,         2.6,       39.46,       50.00,       63.87,       75.01,       88.61,       82080,      104000,      132840,      156020,      184310,       0.258,        0.61
Indiana(1800000),         540,        20.1,       44.13,       91780,         4.8,       28.34,       31.25,       43.52,       52.00,       61.77,       58940,       65000,       90520,      108150,      128480,       0.176,        0.42
Iowa(1900000),         280,         6.0,       59.98,      124760,         1.4,       41.52,       50.87,       59.82,       66.69,       81.16,       86360,      105820,      124420,      138720,      168820,       0.185,        0.44
Kentucky(2100000),         750,        13.2,       47.79,       99400,         4.2,       28.46,       31.76,       48.76,       59.05,       67.68,       59190,       66060,      101420,      122830,      140760,       0.393,        0.93
Maine(2300000),          80,        23.9,       62.73,      130480,         3.2,       44.78,       53.20,       63.34,       74.71,       78.82,       93150,      110650,      131750,      155400,      163940,       0.138,        0.33
Maryland(2400000),         900,        11.3,       73.19,      152230,         5.5,       36.41,       54.34,       69.74,      101.65,      107.15,       75740,      113020,      145050,      211430,      222880,       0.340,        0.80
Massachusetts(2500000),        1490,        10.9,       69.60,      144770,         3.1,       41.58,       56.87,       67.96,       82.72,       96.93,       86480,      118290,      141360,      172060,      201620,       0.418,        0.99
Michigan(2600000),        1180,        14.8,       43.47,       90420,         5.8,       33.49,       33.49,       37.46,       50.64,       63.29,       69650,       69650,       77910,      105320,      131640,       0.278,        0.66
Minnesota(2700000),         580,         7.5,       58.09,      120830,         1.4,       40.25,       48.27,       58.57,       65.92,       78.23,       83710,      100400,      121820,      137110,      162720,       0.206,        0.49
Mississippi(2800000),          90,        25.1,       46.28,       96260,         5.8,       20.55,       28.50,       50.75,       58.75,       68.49,       42740,       59280,      105550,      122200,      142460,       0.078,        0.18
Missouri(2900000),        1370,        13.3,       51.52,      107150,         3.7,       23.84,       35.39,       49.24,       65.22,       79.97,       49590,       73610,      102430,      135650,      166340,       0.487,        1.15
Montana(3000000),          30,        20.0,       50.60,      105250,         5.1,       40.71,       40.76,       51.35,       52.86,       65.88,       84670,       84790,      106810,      109960,      137030,       0.063,        0.15
Nebraska(3100000),         550,         7.4,       56.01,      116500,         1.8,       40.90,       46.39,       52.67,       62.38,       72.11,       85080,       96480,      109560,      129750,      149990,       0.570,        1.35
Nevada(3200000),         250,        16.4,       41.88,       87110,         7.9,       19.13,       24.12,       41.02,       53.89,       69.03,       39780,       50180,       85330,      112100,      143570,       0.176,        0.42
New Hampshire(3300000),         290,        10.8,       60.30,      125420,         5.0,       38.87,       46.60,       59.52,       66.39,       84.65,       80860,       96920,      123790,      138080,      176060,       0.448,        1.06
New Jersey(3400000),        1260,         5.9,       70.13,      145870,         1.2,       44.48,       56.75,       69.58,       82.46,       93.43,       92520,      118040,      144730,      171520,      194330,       0.307,        0.73
New Mexico(3500000),         150,        28.2,       53.24,      110740,         4.0,       28.11,       42.61,       57.99,       64.24,       72.16,       58470,       88620,      120610,      133620,      150090,       0.181,        0.43
New York(3600000),        3860,         6.1,       66.06,      137390,         1.8,       35.96,       49.64,       66.29,       81.72,       90.32,       74790,      103240,      137880,      169980,      187870,       0.423,        1.00
North Carolina(3700000),        2800,        10.1,       59.64,      124060,         6.8,       35.63,       43.08,       59.59,       67.72,       84.06,       74100,       89600,      123950,      140850,      174840,       0.602,        1.42
North Dakota(3800000),          50,         5.8,       47.02,       97790,         1.8,       34.25,       43.79,       47.32,       50.54,       55.22,       71240,       91090,       98420,      105120,      114850,       0.122,        0.29
Ohio(3900000),        1260,        26.0,       55.70,      115860,         6.3,       35.79,       44.19,       57.82,       66.26,       76.56,       74450,       91900,      120260,      137820,      159240,       0.235,        0.56
Oklahoma(4000000),         460,        22.5,       57.84,      120310,         7.7,       31.87,       41.62,       55.00,       66.93,       72.22,       66280,       86560,      114400,      139210,      150210,       0.285,        0.68
Oregon(4100000),         560,         8.5,       60.19,      125200,         2.1,       42.83,       46.15,       61.44,       67.25,       82.76,       89090,       95990,      127780,      139880,      172130,       0.295,        0.70
Pennsylvania(4200000),        2940,         8.8,       57.78,      120180,         3.7,       24.39,       41.15,       58.86,       74.59,       83.47,       50740,       85590,      122440,      155150,      173620,       0.506,        1.20
Puerto Rico(7200000),          70,        21.8,       33.66,       70010,         5.3,       15.98,       29.50,       32.73,       41.84,       47.12,       33240,       61350,       68080,       87020,       98010,       0.073,        0.17
Rhode Island(4400000),          40,        13.5,       60.77,      126390,         2.3,       47.86,       47.86,       61.99,       71.63,       84.61,       99550,       99550,      128940,      148990,      175990,       0.085,        0.20
South Carolina(4500000),         540,         8.0,       55.79,      116040,         2.4,       30.95,       45.71,       56.60,       65.04,       81.73,       64370,       95080,      117730,      135290,      170000,       0.249,        0.59
Tennessee(4700000),         320,        11.6,       54.87,      114130,         5.4,       33.45,       43.06,       55.02,       65.38,       75.73,       69570,       89570,      114440,      135980,      157510,       0.103,        0.24
Texas(4800000),        7140,         8.2,       70.66,      146970,         3.4,       46.70,       58.61,       73.98,       86.96,       88.39,       97140,      121910,      153870,      180870,      183850,       0.549,        1.30
Utah(4900000),           -,           -,       70.08,      145760,         7.0,       53.70,       68.06,       75.00,       75.00,       75.00,      111700,      141560,      156000,      156000,      156000,           -,           -
Vermont(5000000),          80,        34.2,       58.49,      121650,        13.7,       34.78,       48.03,       57.57,       83.18,       86.93,       72340,       99890,      119740,      173000,      180810,       0.257,        0.61
Virginia(5100000),        6860,        11.0,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       1.771,        4.19
Washington(5300000),        3220,        12.4,       76.76,      159650,         3.3,       48.83,       61.63,       81.53,       94.42,       94.42,      101570,      128190,      169580,      196390,      196390,       0.946,        2.24
West Virginia(5400000),         100,        27.5,       60.63,      126100,        13.5,       29.89,       42.52,       61.95,       80.81,       83.12,       62170,       88440,      128860,      168090,      172890,       0.143,        0.34
Wisconsin(5500000),         610,         9.1,       58.54,      121770,         1.8,       40.03,       48.49,       61.24,       66.36,       78.22,       83260,      100860,      127380,      138030,      162700,       0.216,        0.51
,,,,,,,,,,,,,,,,,
(1)Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3)The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
(8)Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
"Date extracted on :Mar 10, 2024",,,,,,,,,,,,,,,,,
